,title,price,condition,Screen Size,Color,RAM Size,SSD Capacity,Processor Speed,Brand,Maximum Resolution,Hard Drive Capacity,Storage Type,Processor_Brand,Processor_Series,Processor_Subseries,Processor_Generation,has_GPU,os_type
75,lenovo 14w amd a6 1.8ghz 4gb ram no hdd 14'' no os laptop,24.99,used,14.0,missing,4.0,,1.8,lenovo,missing,0.0,missing,amd,a,6,,0,no os
76,"dell latitude e7450 intel core i7-5600u 2.6ghz 8gb ram 128gb ssd 14"" fhd",54.0,used,14.0,missing,,128.0,2.6,dell,missing,0.0,ssd,intel,core,i7,5.0,0,no os
77,lenovo thinkpad t15 gen 1,184.5,used,15.6,missing,,,2.3,lenovo,missing,,missing,intel,core,i7,,0,windows
78,"dell latitude 7520 15.6"" (512gb ssd, intel core i7-1185g7, 3.0ghz, 16gb ram)...",395.0,used,15.6,black,16.0,512.0,3.0,dell,1920x1080,512.0,ssd,intel,core,i7,11.0,1,windows
79,lenovo ideapad s340-15iwl | core i3-8145u | 128gb ssd | no os/no power adapter,117.5,used,15.6,silver,,,2.1,lenovo,missing,,missing,intel,core,I3,8.0,0,no os
80,hp 17-cn0013dx laptop | core i3-1115g4 | 256gb | 8gb ram | no os/power adapter,157.5,used,17.3,silver,,,3.0,hp,missing,,missing,intel,core,I3,11.0,0,no os
81,dell vostro 7590 | core i7-9750h | 256gb | 8gb ram | no os | no power adapter,305.0,used,15.6,missing,,,2.6,dell,missing,,missing,intel,core,i7,9.0,0,no os
82,dell g3 3579 | intel core i5-8300h 2.30ghz | 256gb ssd | 8gb ram | no os,286.0,used,15.6,missing,,,2.3,dell,missing,,missing,intel,core,i5,8.0,0,no os
83,hp elitebook 745 g6 | amd ryzen 5 3500u 2.10ghz | 256gb m.2 | 16gb ram | no os,168.0,used,15.6,silver,,,2.1,hp,missing,,missing,amd,ryzen,5,,0,no os
84,hp envy x360 15m-cn0011dx | intel core i5-8250u | 256gb m.2 | 8gb ram | no os,153.5,used,15.6,silver,,,1.6,hp,missing,,missing,intel,core,i5,8.0,0,no os
85,hp pavilion 16-a0032dx | core i5-10300h | 1tb nvme | no os | no power adapter,390.99,used,16.1,black,,,2.5,hp,missing,,missing,intel,core,i5,10.0,0,no os
86,hp envy x360 15m-cn0012dx | core i7-8550u | 256gb | no os | no power adapter,190.0,used,15.6,silver,,,1.8,hp,missing,,missing,intel,core,i7,8.0,0,no os
87,hp envy m6-n113dx | amd fx-7500 2.10ghz | 256gb ssd | 8gb ram | no os,68.25,used,15.6,silver,,,2.1,hp,missing,,missing,amd,fx,,,0,no os
88,dell g5 5505 | amd ryzen 7 4800h 2.9ghz | 512gb ssd | 8gb ram | no os,405.01,used,15.6,silver,,,2.9,dell,missing,,missing,amd,ryzen,7,,0,no os
89,hp zbook power g7 | intel core i7-10850h 2.70ghz | 256gb nvme | 8gb ram | no os,255.0,used,15.6,gray,,,2.7,hp,missing,,missing,intel,core,i7,10.0,0,no os
90,dell latitude 14 rugged 5414 core i7-6600u 2.60ghz 16gb 256gb win 10 pro laptop,434.99,used,14.0,missing,,,,dell,missing,,missing,intel,core,i7,6.0,0,missing
91,dell latitude 14-5491 14''core i5-8400h x4 2.5ghz 8gb ram)excellent 🔋 no ssd,49.0,used,14.0,black,8.0,,2.5,dell,1920x1080,,ssd,intel,core,i5,8.0,1,windows
92,"lenovo thinkpad t480 14"" i5-8350u 1.7ghz quad core 8gb 480gb ssd win 10 webcam",139.98,used,14.0,black,8.0,480.0,1.7,lenovo,1920x1080,,ssd,intel,core,i5,8.0,1,windows
93,"lenovo thinkpad x250 12.5"" laptop intel i7 2.6ghz 8gb 256gb ssd windows 10 pro",100.0,used,12.5,black,8.0,256.0,2.6,lenovo,missing,256.0,ssd,amd,ryzen,5,,0,windows
94,dell inspiron 3583 intel celeron cpu@1.8ghz 4gb ram 1tb hdd(6-29-4),41.0,used,15.6,black,4.0,1000.0,1.8,dell,missing,1000.0,hdd,intel,celeron,,,1,windows
95,hp elitebook 840 g5 i7 1.9ghz | 16 gb 512 gb-ssd | *read description*,149.99,used,14.0,silver,16.0,512.0,1.9,hp,missing,,ssd,intel,core,i7,8.0,0,windows
96,"msi pulse gl66 15.6"" fhd 144hz gaming laptop: intel core i7-12700h rtx 3070 16gb",826.0,open box,15.6,black,16.0,512.0,,msi,missing,512.0,ssd,intel,core,i7,12.0,0,missing
